Column1,PRIM_CMPLNT_RSN_LOB_CORP_ID,PRIM_CMPLNT_RSN_LOB_DESC,Count(*)
328,57,Default | Loan Modification | Financials process                                                                                                                                                                                                               ,822
329,58,Fraud | Fraud | Solicitation Calls and Letters                                                                                                                                                                                                                 ,3
330,58,Fraud | Fraud | Equity Skimming                                                                                                                                                                                                                                ,1
331,58,Unauthorized charges                                                            ,51
332,58,Fraud | Fraud | Miscellaneous                                                                                                                                                                                                                                  ,53
333,58,Customer Contact | General Inquiry | Check Scams                                                                                                                                                                                                               ,1
334,58,Lost card                                                                       ,1
335,58,Fraud | Fraud | Civil Matter -  Lawsuit                                                                                                                                                                                                                        ,8
336,58,Identity Theft                                    ,228
337,58,Fraud | Fraud | Income Misrepresentation                                                                                                                                                                                                                       ,1
338,58,Misappropriation/Forgery                          ,18
339,58,Fraud (e.g. identity theft),59
340,58,Fraud | Fraud | Phishing                                                                                                                                                                                                                                       ,9
341,58,Wire Fraud/Dispute                                                              ,8
342,58,Fraud (e.g. identity theft phishing)                                                                                                                                                                                                                          ,7
343,58,Other                                                                           ,14
344,58,Identify theft                                                                  ,7
345,58,Fraud Detection                                                                 ,5
346,58,Other Theft/Forgery                               ,83
347,58,Fraud | Fraud | Credit Bureau Dispute (Fraud Team Members Only)                                                                                                                                                                                                ,1
348,58,Fraud | Fraud | Fraud Preliminary Investigation (Fraud Team Members Only)                                                                                                                                                                                      ,111
349,58,Check Fraud Claim                                                               ,510
350,58,Fraud | Fraud | Money Laundering                                                                                                                                                                                                                               ,2
351,58,Fraud | Fraud | SSN / Identity Theft Unsubstantiated (Fraud Team Members Only)                                                                                                                                                                                 ,21
352,58,Online Fraud Claim                                                              ,13
353,58,ACH Fraud Claim                                                                 ,346
354,58,Fraud | Fraud | Occupancy Misrepresentation                                                                                                                                                                                                                    ,8
355,58,Fraud                                                                           ,413
356,58,Fraud | Fraud | 10 Day Letter                                                                                                                                                                                                                                  ,6
357,58,Fraud | Fraud | SSN / Identity Theft Substantiated (Fraud Team Members Only)                                                                                                                                                                                   ,8
358,58,Fraud | Fraud | Social Security Year End Due Diligence                                                                                                                                                                                                         ,5
359,58,Fraud | Fraud | Property Flipping / Inflated Value                                                                                                                                                                                                             ,1
360,58,Fraud | Fraud | Credit Bureau Mixed Files (Fraud Team Members Only)                                                                                                                                                                                            ,1
361,59,Gaming                                                                          ,10
362,59,Gaming (Product Enrollment)                                                     ,1
363,59,Sales Integrity                                                                 ,75
364,59,Gaming (Unsolicited ATM/Debit Card)                                             ,19
365,60,Collateral,4
366,60,Lien Release | Transfer Work | Mechanic's Lien (Pool)                                                                                                                                                                                                          ,91
367,60,Lien Release | Transfer Work | Multiple Releases Required                                                                                                                                                                                                      ,1
368,60,Title Not Received                                                              ,47
369,60,Lien Release | Release Processing (Tran 181) | Reprint Request - Agent State                                                                                                                                                                                   ,3
370,60,Lien Release | Transfer Work | COOP Release                                                                                                                                                                                                                    ,3
371,60,Default Operations Support (DOS) | Default Operations Support (DOS) | Mobile / Manufactured Home Conversion Unit (Loans in Default)                                                                                                                            ,1
372,60,Title Not Released                                                              ,32
373,60,Lien Release | Transfer Work | Case Escalation: LR to Provide Resolution                                                                                                                                                                                       ,1
374,60,Lien Release | Transfer Work | Add'l Research Needed Req by LR                                                                                                                                                                                                ,5
375,60,Lien Release | CO-OP Processing (Active - Outside Lender) | Document Request                                                                                                                                                                                   ,2
376,60,Lien Release | Release Processing (Tran 181) | Release Recorded - Certified Copy                                                                                                                                                                               ,12
377,60,Title Modification                                                              ,13
378,61,Insurance | Flood | Refund                                                                                                                                                                                                                                     ,15
379,61,Insurance | Hazard | Lender Placed (LP)                                                                                                                                                                                                                        ,284
380,61,Insurance | Hazard | Mortgagee Clause                                                                                                                                                                                                                          ,6
381,61,Insurance | Hazard | Origination Calculations                                                                                                                                                                                                                  ,3
382,61,Insurance | Flood | Administrative                                                                                                                                                                                                                             ,26
383,61,Mortgage Insurance | MIP/RBI | Premium                                                                                                                                                                                                                         ,1
384,61,Mortgage Insurance | MIP/RBI | Refund                                                                                                                                                                                                                          ,9
385,61,Mortgage Insurance | MIP/RBI | Deleting                                                                                                                                                                                                                        ,77
386,61,CPI Claim                                                                       ,3
387,61,Insurance | Wind | Requirement                                                                                                                                                                                                                                 ,4
388,61,Mortgage Insurance | PMI | Homeowner's Protection Act (HPA) Letter                                                                                                                                                                                             ,1
389,61,Insurance | Flood | Lender Placed Gap                                                                                                                                                                                                                          ,27
390,61,CPI Lapse                                                                       ,34
391,61,Extended Warranty                                                               ,4
392,61,Originations | Disclosure / Compliance Regulation | PMI Disclosure                                                                                                                                                                                             ,5
393,61,Insurance | Hazard | Refund                                                                                                                                                                                                                                    ,42
394,61,Mortgage Insurance | PMI | Miscellaneous                                                                                                                                                                                                                       ,3
395,61,Insurance | Flood | Adding                                                                                                                                                                                                                                     ,4
396,61,Mortgage Insurance | PMI | Refund                                                                                                                                                                                                                              ,19
397,61,Mortgage Insurance | PMI | Appraisal Issues                                                                                                                                                                                                                    ,87
398,61,Chargeguard Insurance                                                           ,5
399,61,Insurance Claims                                                                ,9
400,61,Insurance | Hazard | Miscellaneous                                                                                                                                                                                                                             ,17
401,61,Mortgage Insurance | MIP/RBI | Administrative                                                                                                                                                                                                                  ,12
402,61,CPI Waiver                                                                      ,13
403,61,Insurance | Hazard | Insufficient Coverage                                                                                                                                                                                                                     ,20
404,61,Insurance | Loss Draft | Endorsement                                                                                                                                                                                                                           ,149
405,61,Insurance | Flood | Requirement                                                                                                                                                                                                                                ,48
406,61,Insurance | Loss Draft | Inspection                                                                                                                                                                                                                            ,39
407,61,Insurance | Flood | Gap Notification                                                                                                                                                                                                                           ,20
408,61,Mortgage Insurance | PMI | Premium                                                                                                                                                                                                                             ,8
409,61,Mortgage Insurance | MIP/RBI | Initial Establishment                                                                                                                                                                                                           ,5
410,61,Insurance | Hazard | Initial Disbursements                                                                                                                                                                                                                     ,6
411,61,Insurance                                                                       ,14
412,61,Payment Protector Plan                                                          ,3
413,61,Mortgage Insurance | PMI | Lender Paid Mortgage Insurance (LPMI)                                                                                                                                                                                               ,3
414,61,Insurance | Flood | Lender Placed (LP)                                                                                                                                                                                                                         ,66
415,61,Mortgage Insurance | MIP/RBI | Upfront Fees                                                                                                                                                                                                                    ,2
416,61,Insurance | Flood | Deletion                                                                                                                                                                                                                                   ,10
417,61,Insurance | Hazard | Deletion                                                                                                                                                                                                                                  ,28
418,61,Insurance | Flood | Origination Calculations                                                                                                                                                                                                                   ,1
419,61,Other                                                                           ,5
420,61,Insurance | Flood | Miscellaneous                                                                                                                                                                                                                              ,1
421,61,Insurance | Wind | Miscellaneous                                                                                                                                                                                                                               ,1
422,61,Mortgage Insurance | PMI | Deleting                                                                                                                                                                                                                            ,371
423,61,Insurance | Hazard | Land Only                                                                                                                                                                                                                                 ,4
424,61,Insurance | Loss Draft | Miscellaneous                                                                                                                                                                                                                         ,7
425,61,Reverse Mortgage | Escrow / Set-Aside | Loss Draft                                                                                                                                                                                                             ,6
426,61,Insurance | Hazard | Administrative                                                                                                                                                                                                                            ,193
427,61,Reverse Mortgage | Escrow / Set-Aside | Insurance                                                                                                                                                                                                              ,3
428,61,Insurance | Flood | Insufficient Coverage                                                                                                                                                                                                                      ,6
429,61,Other Insurance                                                                 ,3
430,61,Credit Defense                                                                  ,1
431,61,Insurance | Wind | Administrative                                                                                                                                                                                                                              ,2
432,61,Mortgage Insurance | PMI | Initial Establishment                                                                                                                                                                                                               ,12
433,61,Insurance | Loss Draft | Fund Disbursement/Application                                                                                                                                                                                                         ,300
434,61,Insurance | Hazard | Adding                                                                                                                                                                                                                                    ,8
435,61,Insurance | Loss Draft | Interest on Restricted Escrow                                                                                                                                                                                                         ,4
436,61,Mortgage Insurance | PMI | Administrative                                                                                                                                                                                                                      ,14
437,61,Insurance | Hazard | Requirement                                                                                                                                                                                                                               ,31
438,61,Originations | Disclosure / Compliance Regulation | Flood Insurance                                                                                                                                                                                            ,1
439,61,Insurance | Loss Draft | Administrative                                                                                                                                                                                                                        ,85
440,61,GAP                                                                             ,10
441,61,Insurance | Flood | Mortgagee Clause                                                                                                                                                                                                                           ,2
442,61,Credit/Life Disability                                                          ,6
443,61,Insurance | Flood | Flood Determination                                                                                                                                                                                                                        ,51
444,61,Insurance | Wind | Lender Placed (LP)                                                                                                                                                                                                                          ,8
445,62,Originations | Disclosure / Compliance Regulation | Rate Lock                                                                                                                                                                                                  ,6
446,62,Interest Rate,247
447,62,APR                                                                             ,44
448,63,Lien Release | Release Processing (Tran 181) | Fee Assessment                                                                                                                                                                                                  ,10
449,63,Lien Release | Release Processing (Tran 181) | Further Action Not Needed                                                                                                                                                                                       ,15
450,63,Customer Contact | General Inquiry | Life-Altering Situation                                                                                                                                                                                                   ,215
451,63,Land Transactions Servicing Support (LTSS) | Land Transactions Servicing Support (LTSS) | Eminent Domain                                                                                                                                                       ,5
452,63,Lien Release | CEMA Processing (Active - Outside Lender) | Assignment Request                                                                                                                                                                                  ,3
453,63,Default Operations Support (DOS) | Default Operations Support (DOS) | Subpoena / Summons                                                                                                                                                                       ,9
454,63,Lien Release | Transfer Work | Assignment                                                                                                                                                                                                                      ,8
455,63,Lien Release | Transfer Work | Release Request                                                                                                                                                                                                                 ,31
456,63,Land Transactions Servicing Support (LTSS) | Land Transactions Servicing Support (LTSS) | Probate Claim or Notice to Creditors                                                                                                                                 ,3
457,63,Land Transactions Servicing Support (LTSS) | Land Transactions Servicing Support (LTSS) | Easements                                                                                                                                                            ,16
458,63,Lien Release | Release Processing | Not Serviced by WF                                                                                                                                                                                                         ,193
459,63,Customer Contact | General Inquiry | Cease & Desist                                                                                                                                                                                                            ,370
460,63,Land Transactions Servicing Support (LTSS) | Land Transactions Servicing Support (LTSS) | Association Amendments / CC&R (Covenants Conditions and Restrictions) Amendments                                                                                   ,5
461,63,Lien Release | Transfer Work | Other Task (specify in comments)                                                                                                                                                                                                ,1
462,63,Lien Release | Transfer Work | Non Tran 181                                                                                                                                                                                                                    ,4
463,63,Land Transactions Servicing Support (LTSS) | Land Transactions Servicing Support (LTSS) | Land Swap / Lot Line Adjustments                                                                                                                                     ,8
464,63,Legal Action                                                                                        ,130
465,63,Land Transactions Servicing Support (LTSS) | Land Transactions Servicing Support (LTSS) | Subordination                                                                                                                                                        ,23
466,63,Lien Release | Release Processing (Tran 181) | Release Recently Sent                                                                                                                                                                                           ,46
467,63,Servicing Litigation Support (SLS) | Servicing Litigation Support (SLS) | Subpoena / Summons                                                                                                                                                                   ,12
468,63,Land Transactions Servicing Support (LTSS) | Land Transactions Servicing Support (LTSS) | IL Land Trust                                                                                                                                                        ,1
469,63,Land Transactions Servicing Support (LTSS) | Land Transactions Servicing Support (LTSS) | Erroneous Legal Vesting Recording on Original Security Instrument                                                                                                  ,51
470,63,Lien Release | Transfer Work | Construction Loan                                                                                                                                                                                                               ,1
471,63,Customer Contact | General Inquiry | Title Issues                                                                                                                                                                                                              ,59
472,63,Land Transactions Servicing Support (LTSS) | Land Transactions Servicing Support (LTSS) | Partial Release                                                                                                                                                      ,37
473,63,Lien Release | Release Processing (Tran 181) | Reprint Request - Never Recorded                                                                                                                                                                                ,115
474,63,Land Transactions Servicing Support (LTSS) | Land Transactions Servicing Support (LTSS) | Miscellaneous                                                                                                                                                        ,15
475,63,Reverse Mortgage | Customer Service | Lien Release                                                                                                                                                                                                             ,10
476,63,Land Transactions Servicing Support (LTSS) | Land Transactions Servicing Support (LTSS) | P&I Modifications                                                                                                                                                    ,9
477,63,Lien Release | Transfer Work | Legacy Reprint                                                                                                                                                                                                                  ,26
478,63,Legal Remedies                                                                  ,32
479,63,Lien Release | CEMA Processing (Active - Outside Lender) | Miscellaneous                                                                                                                                                                                       ,1
480,63,Lien Release | Release Processing (Tran 181) | Release Recorded                                                                                                                                                                                                ,104
481,63,Legal Action (e.g. cease and desist)                                            ,1
482,63,Lien Release | Transfer Work | Mobile Home Release                                                                                                                                                                                                             ,14
483,63,Lien Release | Release Processing (Tran 181) | Recent Payoff / Request for a PIF Letter                                                                                                                                                                        ,26
484,63,Lien Release | Transfer Work | Release Correction                                                                                                                                                                                                              ,94
485,64,Optional Services | Optional Product | Claims                                                                                                                                                                                                                  ,4
486,64,Optional Services | Optional Product | Product Issue                                                                                                                                                                                                           ,6
487,64,Optional Services | Optional Product | Product Not Offered                                                                                                                                                                                                     ,1
488,64,Optional Services | Optional Product | Enrollment                                                                                                                                                                                                              ,8
489,64,Optional Services | Optional Product | Information Request                                                                                                                                                                                                     ,13
490,64,Managed Accounts                                  ,10
491,64,Optional Services | Optional Product | Deletion/Cancellation                                                                                                                                                                                                   ,29
492,64,Optional Services | Optional Product | Adding                                                                                                                                                                                                                  ,3
493,64,Optional Services | Optional Product | Payment Issues                                                                                                                                                                                                          ,16
494,64,Optional Services | Optional Product | Refund                                                                                                                                                                                                                  ,8
495,64,Optional Services | Optional Product | Miscellaneous                                                                                                                                                                                                           ,2
496,64,Optional Services | Optional Product | Transfer                                                                                                                                                                                                                ,3
497,65,Maturity/End of Draw                                                            ,6
498,66,Media Relations,9
499,67,Merger                                                                                              ,1
500,68,Misplaced Documentation,3
501,68,Document Management | Document Management | Miscellaneous                                                                                                                                                                                                      ,175
502,68,Document Management | Document Management | Administrative                                                                                                                                                                                                     ,66
503,69,Mistaken Transaction                                                            ,4
504,70,Mktg Promotions - Advertising,7
505,70,Marketing Promotions - Advertising                                                                  ,13
506,70,Marketing Promotions/Advertising                                                ,1
507,70,Mktg Promotions -  Advertising                                                  ,45
508,70,Mktg Promotions                                                                 ,1
509,71,Money Transfer                                                                  ,463
510,71,Online Transfer Issue                                                           ,5
511,72,Specialty Assets                                                                                                                                                                                                                                               ,1
512,72,Customer Service Experience                                                                                                                                                                                                                                    ,1833
513,72,Administration                                                                                                                                                                                                                                                 ,45
514,72,Communication Expectations Not Met                                              ,152
515,72,Inquiry                                           ,221
516,73,On-Line Trading                                   ,318
517,74,Service Expectations                                                            ,2
518,74,Other                                                                           ,1
519,74,Customer Contact | Online Banking | Online Payment                                                                                                                                                                                                             ,57
520,74,Online Issues                                                                                       ,158
521,74,Website-Research                                                                                                                                                                                        ,1
522,74,Website-Interaction                                                                                                                                                                                     ,4
523,74,SurePay                                                                         ,11
524,74,Customer Contact | Online Banking | System Functionality / Information                                                                                                                                                                                         ,74
525,74,On-line Issues                                                                  ,69
526,75,Lien Release | Transfer Work | Other                                                                                                                                                                                                                           ,3
527,75,Tax | General | Deletion                                                                                                                                                                                                                                       ,17
528,75,Tax | Pay Taxes | Ground Rent (Leasehold Interest)                                                                                                                                                                                                             ,2
529,75,Customer Contact | General Inquiry | Telephone System                                                                                                                                                                                                          ,12
530,75,Need Explanation                                                                ,7
531,75,Referral                                          ,441
532,75,Insurance | Hazard | TBD                                                                                                                                                                                                                                       ,4
533,75,Tax | General | Exemption                                                                                                                                                                                                                                      ,70
534,75,Tax | General | Audit of Tax Payments / Disbursements                                                                                                                                                                                                          ,21
535,75,Customer Contact | General Inquiry | Miscellaneous                                                                                                                                                                                                             ,533
536,75,Escrow | Escrow Analysis | Shortage                                                                                                                                                                                                                            ,332
537,75,Escrow | Escrow Refund Check | Miscellaneous                                                                                                                                                                                                                   ,18
538,75,Mortgage Insurance | PMI | Other                                                                                                                                                                                                                               ,4
539,75,Insurance | Flood | TBD                                                                                                                                                                                                                                        ,1
540,75,Reverse Mortgage | Customer Service | Administrative                                                                                                                                                                                                           ,21
541,75,MISC (Deposit Ops Tracking only)                                                ,3
