Column1,SCNDRY_CMPLNT_RSN_LOB_CORP_ID,SCNDRY_CMPLNT_RSN_LOB_DESC,Count(*)
424,75,Lien Release | Release Processing | TBD                                                                                                                                                                                                                        ,3
425,75,Escrow | Escrow Account | Requirement                                                                                                                                                                                                                          ,11
426,75,Third Party (e.g. complaints against vendor)                                    ,5
427,75,Assumptions | Assumptions | Transfer of Title without Consent (FKA Illegal Transfer)                                                                                                                                                                           ,1
428,75,Tax | General | Incorrect Amount Paid                                                                                                                                                                                                                          ,5
429,75,PB - Overdraft Monitoring                                                                           ,4
430,76,Overdraft Protection                                                                                ,17
431,76,Over-draft Protection                                                           ,56
432,77,Payment Processing | Reversal | Return Item Situation (148)                                                                                                                                                                                                    ,3
433,77,Payment Processing | Flexible Drafting Plans | Application of Partial Payments                                                                                                                                                                                 ,4
434,77,Payment Processing | Payment | Application of Partial Payments                                                                                                                                                                                                 ,60
435,77,Returned Payment                                                                ,4
436,77,Reverse Mortgage | Payments / Disbursements | Disbursements                                                                                                                                                                                                    ,1
437,77,Distribution Of Payments                                                        ,9
438,77,Online                                                                          ,4
439,77,Lost Payment                                                                    ,5
440,77,Payment Processing | Payment | Interest Calculation                                                                                                                                                                                                            ,3
441,77,Other                                                                           ,6
442,77,In Store Payment                                                                ,2
443,77,Payment                                                                         ,78
444,77,Unauthorized Payments                                                           ,3
445,77,Over Payment Refund                                                             ,1
446,77,Payment Processing | Payment | Amount                                                                                                                                                                                                                          ,63
447,77,Misencoded Payment                                                              ,1
448,77,Payment Processing | Payment | Application Validation or Application Instructions                                                                                                                                                                              ,245
449,77,Payment Processing | Payment | Miscellaneous                                                                                                                                                                                                                   ,80
450,77,Payment Hold                                                                    ,2
451,77,ACH/Automatic Payments                                                          ,9
452,77,Delays in Payment Posting                                                       ,13
453,77,Payment Processing | Reversal | Reversal of Funds (147)                                                                                                                                                                                                        ,5
454,78,Payment Processing | Payment | Wells Fargo Bank Payments                                                                                                                                                                                                       ,13
455,78,Misapplied Payment                                                              ,7
456,78,Payment Processing | Payment | Misapplied Wrong Element                                                                                                                                                                                                        ,31
457,78,Payment Processing | Payment | Duplicate Posting Issues                                                                                                                                                                                                        ,14
458,78,Payment Processing | Payment | Foreclosure Referral - Resulting from a Payment Issue                                                                                                                                                                           ,6
459,78,Payment Processing | Payment | Cashed / Not Posted                                                                                                                                                                                                             ,16
460,78,Payment Processing | Payment | Misapplied Wrong Loan                                                                                                                                                                                                           ,16
461,79,Payment Processing | Payoff | Statement Request                                                                                                                                                                                                                ,42
462,79,Payment Processing | Payoff | Delays                                                                                                                                                                                                                           ,2
463,79,Escrow | Escrow Account | Netted Escrow Payoff                                                                                                                                                                                                                 ,1
464,79,Payment Processing | Payoff | Matured Loans                                                                                                                                                                                                                    ,6
465,79,Payment Processing | Payoff | Miscellaneous                                                                                                                                                                                                                    ,9
466,79,Payment Processing | Payoff | Calculation                                                                                                                                                                                                                      ,19
467,79,Payment Processing | Payoff | Cashed / Not Posted                                                                                                                                                                                                              ,3
468,79,Payment Processing | Payoff | Final Payment                                                                                                                                                                                                                    ,12
469,79,Payoff Process                                                                  ,6
470,79,Payment Processing | Payoff | Short Payoff                                                                                                                                                                                                                     ,6
471,81,Photocopies                                                                     ,24
472,82,Funds in Suspense                                                               ,1
473,82,Prevention Action,2
474,82,Account Closure                                                                 ,1
475,82,Hard Hold                                                                       ,10
476,84,Marketing | Opt-Out | Opt-Out Request                                                                                                                                                                                                                          ,3
477,84,Privacy                                                                         ,21
478,84,Marketing | Solicitation | Retention Programs                                                                                                                                                                                                                  ,3
479,85,Product/Channel Enhancement                                                     ,8
480,86,Special Loans | Special Loans | ARM ( Adjustable Rate Mortgage)                                                                                                                                                                                                ,6
481,86,Originations | Disclosure / Compliance Regulation | ARM Disclosure                                                                                                                                                                                             ,1
482,86,Originations | Retention Programs | Refinance Request                                                                                                                                                                                                          ,37
483,86,Customer Contact | General Inquiry | Government Loans (VA / FHA)                                                                                                                                                                                               ,5
484,86,Mobile Banking - General Dissatisfaction                                        ,1
485,86,Special Loans | Special Loans | SCRA (Service Members Civil Relief Act) or Soldiers and Sailors                                                                                                                                                                ,13
486,86,Special Loans | Special Loans | Balloon                                                                                                                                                                                                                        ,8
487,86,Product Feature Issues                                                                              ,40
488,86,Originations | Retention Programs | Retention / 3 Step Refi : Rate/Term                                                                                                                                                                                        ,1
489,86,Originations | Retention Programs | Miscellaneous                                                                                                                                                                                                              ,2
490,86,Special Loans | Special Loans | Interest Only Loans                                                                                                                                                                                                            ,1
491,86,Special Loans | Special Loans | 203K                                                                                                                                                                                                                           ,1
492,86,Plan/ Product Feature Issues    ,1
493,87,Product Suitability,13
494,89,Redemption                                                                                          ,7
495,91,Miscellaneous-Information Inquiry                                                                                                                                                                       ,1
496,91,Research,2
497,91,Requesting Documentation                                                        ,26
498,93,Rewards                                                                         ,23
499,93,Rewards / Loyalty                                                               ,1
500,94,Solicitation,13
501,94,Mailing (Do Not Mail)                                                           ,1
502,95,Print Vendor | Monthly Mortgage Statements | Non-Receipt                                                                                                                                                                                                       ,27
503,95,Statement - Processing                                                          ,10
504,95,Did Not Understand Minimum Payment Required on Statement                        ,2
505,95,Did Not Understand Special Terms End Date on Statement                          ,1
506,95,Statement – Processing,2
507,95,Print Vendor | Escrow Statements | Non-Receipt                                                                                                                                                                                                                 ,1
508,95,Did Not Receive Statement                                                       ,43
509,96,Statement - Content                                                             ,9
510,96,Print Vendor | Monthly Mortgage Statements | Formatting                                                                                                                                                                                                        ,5
511,96,Print Vendor | Monthly Mortgage Statements | Miscellaneous                                                                                                                                                                                                     ,14
512,96,Statement                                                                       ,18
513,97,Stop Payment                                                                    ,18
514,98,Store Hours/Facility                                                            ,44
515,99,Year End | Year End | Information Dispute                                                                                                                                                                                                                      ,37
516,99,Print Vendor | Year End Statement | Non-Receipt                                                                                                                                                                                                                ,4
517,99,Tax Reporting,32
518,99,Year End | Year End | Miscellaneous                                                                                                                                                                                                                            ,8
519,99,Print Vendor | Year End Statement | Duplicate 1098 / 1099                                                                                                                                                                                                      ,6
520,99,Taxes                                                                                                                                                                                                                                                          ,1
521,99,Year End | Year End | Interest Calculation                                                                                                                                                                                                                     ,9
522,99,Tax | Pay Taxes | Initial Disbursements                                                                                                                                                                                                                        ,1
523,100,Team Member Behavior                                                            ,459
524,100,Treatment By Team Member                                                        ,62
525,100,Collection Tactics:  Team Member Service or Professionalism                     ,50
526,101,Originations | Third Party | Title Issue                                                                                                                                                                                                                       ,4
527,101,Originations | Third Party | Fund Disbursement Issue                                                                                                                                                                                                           ,1
528,101,Originations | Third Party | Miscellaneous                                                                                                                                                                                                                     ,1
529,101,Merchant Sales Tactics                                                          ,14
530,101,Collections by Third Party Vendor                                               ,1
531,101,Merchandise Dispute                                                             ,10
532,101,Balance Dispute                                                                 ,1
533,101,Originations | Third Party | Broker Issue                                                                                                                                                                                                                      ,2
534,101,Other                                                                           ,3
535,101,Originations | Third Party | Correspondent Issue                                                                                                                                                                                                               ,1
536,101,Originations | Third Party | Closing Agent Issue                                                                                                                                                                                                               ,4
537,101,Unauthorized Merchant Financing Fee                                             ,2
538,101,Service Expectations                                                            ,5
539,101,Inaccurate Charges                                                              ,3
540,103,Payment Processing | Flexible Drafting Plans | Deletion/Cancellation                                                                                                                                                                                           ,21
541,103,Payment Processing | Flexible Drafting Plans | Refund Request                                                                                                                                                                                                  ,7
542,103,Payment Processing | Reversal | Refund of Funds (147)                                                                                                                                                                                                          ,9
543,103,Payment Processing | Flexible Drafting Plans | Drafting                                                                                                                                                                                                        ,23
544,103,Payment Processing | Flexible Drafting Plans | Administrative                                                                                                                                                                                                  ,14
545,103,Transaction Issues,26
546,103,Reclamations/Returned Item                                                      ,1
547,103,Payment Processing | Reversal | Miscellaneous                                                                                                                                                                                                                  ,7
548,103,Payment Processing | Payment | Payment Mailing Issues                                                                                                                                                                                                          ,19
549,103,Payment Processing | Payment | Not Cashed / Not Posted                                                                                                                                                                                                         ,32
550,103,Payment Processing | Payment | Encoding Error                                                                                                                                                                                                                  ,4
551,103,Payment Processing | Phone Pay | Miscellaneous                                                                                                                                                                                                                 ,2
552,103,Payment Processing | Phone Pay | Processing                                                                                                                                                                                                                    ,19
553,103,Customer Contact | Online Banking | Miscellaneous                                                                                                                                                                                                              ,2
554,103,Payment Processing | Flexible Drafting Plans | Adding                                                                                                                                                                                                          ,19
555,103,Payment Processing | Flexible Drafting Plans | Suspension                                                                                                                                                                                                      ,1
556,103,Payment Processing | Flexible Drafting Plans | Miscellaneous                                                                                                                                                                                                   ,12
557,103,Payment Processing | Reversal | Returned Funds by WFHM (147)                                                                                                                                                                                                   ,1
558,103,Transaction/Processing Issues   ,2
559,103,Payment Processing | Reversal | Notification of Reversal was Insufficient (147 & 148)                                                                                                                                                                          ,4
560,104,Servicing Acquisitions | Servicing Acquisitions | Payments and Disbursements                                                                                                                                                                                   ,30
561,104,Servicing Acquisitions | Servicing Acquisitions | Loan Origination Integrity                                                                                                                                                                                   ,3
562,104,Servicing Acquisitions | Servicing Acquisitions | Data or File Integrity                                                                                                                                                                                       ,6
563,104,Servicing Acquisitions | Servicing Acquisitions | Service Release or Transfer                                                                                                                                                                                  ,21
564,104,Transfer of Accounts,2
565,104,Originations | Servicing | First Payment Issues                                                                                                                                                                                                                ,1
566,104,Originations | Disclosure / Compliance Regulation | Servicing Disclosure                                                                                                                                                                                       ,5
567,104,Servicing Acquisitions | Servicing Acquisitions | Repurchase                                                                                                                                                                                                   ,4
568,104,Originations | Servicing | Boarding Issues                                                                                                                                                                                                                     ,4
569,104,Servicing Acquisitions | Servicing Acquisitions | Notification Integrity                                                                                                                                                                                       ,5
570,104,Servicing Acquisitions | Servicing Acquisitions | Miscellaneous                                                                                                                                                                                                ,1
571,106,Unsolicited Issuance of Credit,3
572,106,Unsolicited Issuance of credit card                                             ,1
573,107,Reg CC - Deposited Funds Availability                                                               ,1
574,107,Deposit Issue,109
575,108,Disclosures,2
576,109,Due Date Change                                                                 ,5
577,109,Due Date                                                                        ,2
578,110,Escrow | Escrow Account | Initial Establishment                                                                                                                                                                                                                ,1
579,116,Reverse Mortgage | Repairs | Administrative                                                                                                                                                                                                                    ,1
580,117,Fair Lending – National Origin,1
581,118,Originations | Disclosure / Compliance Regulation | Predatory Lending                                                                                                                                                                                          ,31
582,118,Other (State or local prohibited basis)                                         ,1
583,120,Fair Lending - Race/Ethnicity                                                   ,2
584,120,Race/Ethnicity                                                                  ,4
585,121,Fair Lending - Religion                                                                             ,1
586,121,Religion                                                                        ,1
587,122,Fees – Loans,1
588,122,Fees - Loans                                                                                        ,1
589,123,Annual Fee                                                                      ,2
590,123,Fees – Other,11
591,123,Fees - Other                                                                                        ,31
592,123,Fees - Over-draft Protection                                                    ,1
593,123,Other                                                                           ,1
594,124,Finance Charge                                                                  ,65
595,126,Investments - Poor Performance                                                                                                                                                                                                                                 ,1
596,128,Default | Deed in Lieu | Settlement/Recording of Docs                                                                                                                                                                                                          ,4
597,128,Default | Short Sale | Decision process                                                                                                                                                                                                                        ,20
598,128,Default | Deed in Lieu | Denial Explanation                                                                                                                                                                                                                    ,3
599,128,Default | Short Sale | Settlement                                                                                                                                                                                                                              ,15
600,128,Default | Deed in Lieu | Review Process                                                                                                                                                                                                                        ,17
601,128,Default | Short Sale | First request for assistance                                                                                                                                                                                                            ,17
602,128,Default | Short Sale | Review Process                                                                                                                                                                                                                          ,35
603,128,Reverse Mortgage | Liquidations | Short Sale                                                                                                                                                                                                                   ,1
604,128,Default | Short Sale | Title Clearing / Subordination                                                                                                                                                                                                          ,2
605,128,Default | Deed in Lieu | Decision process                                                                                                                                                                                                                      ,3
606,128,Default | Short Sale | Documentation process                                                                                                                                                                                                                   ,16
607,128,Default | Deed in Lieu | Vacating                                                                                                                                                                                                                              ,2
608,128,Default | Short Sale | Denial Explanation                                                                                                                                                                                                                      ,9
609,128,Default | Short Sale | Closing                                                                                                                                                                                                                                 ,7
610,128,Default | Deed in Lieu | First request for assistance                                                                                                                                                                                                          ,11
611,128,Default | Deed in Lieu | Documentation process                                                                                                                                                                                                                 ,3
612,129,Originations | Property Valuation | Appraisal Dispute Process                                                                                                                                                                                                  ,2
613,129,Originations | Closing | Timing                                                                                                                                                                                                                                ,7
614,129,Reverse Mortgage | Originations | Appraisal Issues                                                                                                                                                                                                             ,1
615,129,Originations | Interview | Loan/Program Eligibility                                                                                                                                                                                                            ,7
616,129,Originations | Processing/Decisioning | Documentation Requirements process                                                                                                                                                                                     ,8
617,129,Originations | Interview | Pre-Application                                                                                                                                                                                                                     ,2
618,129,Originations | Post Closing | Funding Process                                                                                                                                                                                                                  ,1
619,129,Originations | Processing/Decisioning | Final Loan Terms                                                                                                                                                                                                       ,10
620,129,Originations | Closing | Closing Documents                                                                                                                                                                                                                     ,3
621,129,Customer Contact | General Inquiry | Refinance Request                                                                                                                                                                                                         ,2
622,129,Originations | Property Valuation | Appraisal Process                                                                                                                                                                                                          ,6
623,129,Originations | Processing/Decisioning | Denial Explanation                                                                                                                                                                                                     ,9
624,129,Originations | Processing/Decisioning | Loan Cancellation                                                                                                                                                                                                      ,2
625,129,Originations | Interview | Application Process                                                                                                                                                                                                                 ,4
626,129,Originations | Processing/Decisioning | Final Loan Costs                                                                                                                                                                                                       ,8
627,129,Originations | Processing/Decisioning | Loan Review Process                                                                                                                                                                                                    ,30
628,130,Tax | Tax Sale | Missing Parcel                                                                                                                                                                                                                                ,2
629,130,Tax | Tax Sale | Mass Check Returned                                                                                                                                                                                                                           ,1
630,130,Tax | Tax Sale | Refund/Return Check Processed Incorrectly                                                                                                                                                                                                     ,1
631,130,Tax | Tax Sale | Miscellaneous                                                                                                                                                                                                                                 ,1
632,131,Resp Lending – Ability to Repa,1
633,131,Ability to Repay                                                                ,4
634,134,Resp Lending – Steering,1
635,137,Sales Integrity                                                                                     ,3
636,137,Sales Practices                                                                 ,65
637,138,Initial Request                                                                 ,2
638,138,Did Not Apply SCRA to Account                                                   ,1
639,140,Info Sharing w/ 3rd Party                                                       ,2
640,140,Security - Information                                                          ,17
641,140,Security – Information,5
642,141,Information Security                                                            ,2
643,141,Security – Information Securit,1
644,141,Security - Information Security Incident                                        ,14
645,142,Security - Physical                                                             ,4
646,142,Security – Physical,1
647,143,Terms and Conditions                                                                                ,6
648,143,Need Explanation                                                                ,10
649,143,Secured Card                                                                    ,5
650,144,Transaction History                                                             ,29
